Stratum,Penetration,Altitude,SpeciesCode,North,East
6005173,69,141,gobhut,6222593,2641345
2006322,1,30,angdie,6473600,2663700
13042388,11,8,angdie,5753900,2479300
2008060,7,50,angdie,6456900,2686800
2004847,1,5,gamaff,6492000,2661100
2006798,7,37,hyrmen,6468753,2682310
9011520,35,15,angaus,6001602,2704491
3015706,105,39,gamaff,6387948,2706025
15052711,35,60,galaxi,5439200,2127600
0,1,30,angdie,5632517,3363371
8020244,120,685,oncmyk,6203577,2792879
3008641,59,7,cypcar,6426059,2703258
13054811,13,130,angdie,5713700,2497100
6005711,16,400,galfas,6219700,2593300
14024933,36,65,parcur,5575324,2339073
13514065,117,585,galvul,5645026,2323694
11007981,1,20,gobhut,6007110,2593870
7048892,194,360,parane,6051300,2728800
3000745,7,70,gobhut,6495300,2738100
1010353,34,210,neohel,6642768,2588784
3020529,134,52,angdie,6363162,2714491
13010710,191,780,gobbre,5861601,2497890
13504499,206,795,parcur,5703557,2303160
8005889,72,140,parane,6254778,2871078
4008077,60,288,nospec,6347081,2796259
4024857,127,570,saltru,6286300,2844800
11023153,13,50,angdie,5949300,2599500
6008893,22,430,parane,6201800,2600500
3035793,4,20,parane,6302944,2655281
14035726,175,230,saltru,5550800,2225200
14044144,1,3,anguil,5532800,2340700
3012631,80,20,galmac,6403847,2700314
7045906,10,27,galarg,6064239,2703264
13066278,2,5,gobcot,5641700,2370300
14020810,305,310,galbre,5584400,2142600
6002479,9,70,parane,6239300,2622600
13061848,26,130,parane,5680487,2372571
15067619,5,70,galgol,5327300,2113600
14070213,0,18,galarg,5434967,2277446
6010502,1,15,retret,6193600,2584600
14037012,11,68,chefos,5548914,2334823
13504549,203,1064,galpro,5702970,2297106
12029561,57,190,gobbre,5852200,2391400
9012051,34,2,neoapo,5999100,2704300
3023556,184,145,galdiv,6347800,2759295
14032313,172,566,nospec,5559100,2302125
13068277,14,71,angdie,5611314,2354315
8028365,111,315,parcur,6147800,2792700
13501852,225,800,galpau,5726200,2307500
13512444,136,430,galcob,5653901,2279282
3042642,11,30,gobiom,6280318,2657922
12049522,2,10,gobhut,5708800,2200700
13520760,67,215,onctsh,5609200,2312000
6010318,3,20,anguil,6194200,2584700
2005245,3,30,angaus,6486840,2653296
0,5,45,angaus,5842300,2356300
13037805,12,45,gobbre,5769400,2475600
12030566,44,93,gobiom,5841649,2382894
14029204,25,77,galcob,5566073,2333937
NA,NA,NA,nospec,5645815,2361417
4006018,8,70,anguil,6356985,2837554
7045436,36,110,chefos,6066240,2716450
12010973,65,100,galpos,5934900,2425800
3014131,89,35,caraur,6396874,2703330
1009193,2,20,parane,6649200,2620600
7040109,75,40,angaus,6087883,2732018
3010003,78,105,angaus,6419784,2764575
14060182,82,40,saltru,5482500,2239800
12033122,5,30,gobhut,5830700,2347800
10000045,0,0,galmac,6076700,2486900
13036948,6,9,saltru,5772300,2483100
9001187,8,40,galfas,6045400,2694000
13506514,192,880,galpau,5690058,2315893
3009321,74,150,gobbas,6422800,2756300
4000960,0,10,anguil,6386662,2793101
0,4,5,parcur,6697500,2532300
14017189,273,906,saltru,5595057,2248310
12029188,28,85,angdie,5854200,2375300
2004227,3,25,angdie,6499344,2660978
12045940,16,20,galmac,5737300,2253200
13519453,146,1090,parane,5617995,2268190
2001306,34,35,parcur,6539600,2649900
3000675,5,20,gobcot,6496900,2736900
13011213,188,780,saltru,5859521,2500978
2008720,8,175,parcur,6451735,2687666
15014813,160,205,gobcot,5537600,2095600
3006924,9,20,angdie,6433600,2761700
14058523,94,100,angdie,5487900,2235500
6005709,44,220,angdie,6219400,2619800
13056754,0,10,geoaus,5708000,2514500
9008816,5,52,galbre,6013761,2673001
14028593,18,72,galvul,5567449,2337546
9005733,103,190,angaus,6027400,2719300
7045906,10,27,angdie,6064239,2703264
13516550,132,430,parcur,5632420,2266063
13524267,6,15,parane,5584475,2359112
12028873,0,5,galbre,5856100,2360400
14028492,21,58,galcob,5567458,2336452
6008288,108,178,angaus,6205501,2632149
14051332,88,275,galdep,5510200,2311100
14058877,50,355,galeld,5485553,2312357
3040416,75,50,angaus,6289500,2679900
14056736,104,818,galpul,5493256,2249010
6004989,43,290,saltru,6222700,2612000
15029354,97,200,gobcot,5497872,2096879
10012654,1,5,angdie,5986732,2528028
1010353,34,210,neohel,6642821,2588777
13062281,30,135,galvul,5677842,2366079
13009741,3,25,gobcot,5866200,2558000
12034769,24,135,parane,5820900,2356900
4008791,52,285,saltru,6345365,2801983
2000236,0,12,gobhut,6555997,2723261
2009479,16,50,angaus,6443700,2681370
9,1,2,angaus,6470400,2672800
10000438,4,10,angaus,6061400,2464400
14054532,126,264,nospec,5500559,2221137
3003797,6,20,galfas,6454067,2760206
13042878,93,310,neobur,5752878,2425923
14051121,95,203,nospec,5512073,2284435
3010266,75,14,angaus,6418780,2699230
3010235,67,80,angdie,6418500,2757600
2004748,1,32,nospec,6492603,2658193
14071392,146,309,galspd,5425673,2223184
3007556,54,5,neodiv,6431500,2696700
10011854,15,180,angdie,5989619,2540765
6008330,108,170,angdie,6205400,2632100
14057270,130,706,galeld,5491891,2264501
14044423,212,486,gobbre,5532215,2265584
4003688,20,5,angaus,6369100,2808600
15050993,25,40,galbre,5444600,2052300
14024680,36,65,gobcot,5575324,2339073
13501849,224,791,galbre,5724941,2309019
14042777,41,140,galaxi,5536700,2319600
14009578,289,300,galbre,5618700,2185700
2004575,30,110,angdie,6495300,2641400
13046232,15,5,angaus,5741434,2479994
13519247,119,480,parcur,5619448,2277343
13511557,192,775,parane,5658592,2238975
4008077,60,288,gobcot,6347260,2796127
15059319,31,45,gobcot,5413600,2176300
6010731,23,180,saltru,6192700,2614000
15052505,11,21,chefos,5439300,2099400
14028492,21,58,galvul,5567526,2336695
13069094,26,70,gobbre,5600000,2347100
2006041,1,15,galfas,6476500,2657800
1000025,0,13,graham,6752963,2498318
3016115,109,40,angaus,6385878,2708700
10011761,1,4,galmac,5989963,2520781
NA,NA,NA,nospec,5586849,2217753
13046444,122,659,onctsh,5741380,2328392
11001818,1,5,galmac,6042862,2579019
14029106,25,75,gobbre,5566313,2334062
0,9,10,nospec,5819800,2337100
6012545,44,128,angaus,6182960,2644525
2005413,0,39,parane,6485100,2655700
13511111,148,520,galvul,5660930,2273670
10000305,0,10,galfas,6064900,2472000
10010547,1,20,anguil,5994900,2516600
1016547,13,140,parane,6616100,2630600
13047681,68,153,neobur,5736960,2430759
13060488,44,218,gobbre,5689127,2366492
3010188,66,90,parcur,6419100,2756600
3016967,108,30,angdie,6381355,2761891
13059651,84,750,galvul,5694151,2350948
3047125,358,360,galbre,6256700,2772300
13044392,10,5,gobgob,5748227,2483622
12030838,65,116,gobiom,5844380,2393469
15048278,0,2,gobhut,5450900,2011100
11032885,124,850,gobbre,5902100,2532500
14028492,21,58,saltru,5567466,2336318
12035422,19,15,galarg,5816300,2345900
9010689,5,178,angaus,6004267,2667853
13502495,208,715,hyrmen,5719281,2280974
3009576,73,130,angaus,6421800,2756100
15053819,33,100,gobiom,5435800,2117300
15057805,44,20,perflu,5423200,2189600
14029106,25,75,galcob,5566307,2334059
3013186,88,15,parane,6401100,2695400
14028492,21,58,saltru,5567509,2336651
2004950,1,10,gobcot,6490800,2660900
14042695,34,115,nospec,5536967,2324549
14042271,247,680,galano,5538100,2248100
6015275,2,35,hyrmen,6163510,2633010
14029106,25,75,galvul,5566307,2334059
3013892,91,20,galmac,6398100,2694900
15054294,23,40,angdie,5434200,2134800
3003056,3,30,anguil,6462165,2761172
7004511,276,535,galbre,6259200,2728400
14017389,248,609,gobbre,5593810,2266745
13507050,188,820,galmar,5686926,2315073
14029204,25,77,gobbre,5566198,2333952
12031876,1,5,gobhut,5838800,2351800
3013947,87,15,angaus,6397728,2700322
6002369,1,5,gobhut,6240200,2606500
1008653,36,240,nospec,6651900,2584800
13038679,97,670,angdie,5765900,2409300
8014354,5,16,galmac,6229735,2923645
2007714,28,175,galbre,6460126,2699280
3009064,85,160,angdie,6424300,2764400
8016667,39,482,retret,6221400,2841400
13520957,64,204,saltru,5605780,2311032
4025491,128,370,parcur,6282088,2833286
13510742,160,520,galmar,5663149,2307034
1004310,30,45,retret,6675700,2566700
11017507,19,30,parcur,5970700,2579350
7014075,167,951,angdie,6208564,2716266
8017057,5,119,angaus,6220097,2934865
0,4,20,galfas,6532101,2659266
3005467,2,15,angdie,6440400,2763200
11001820,0,15,galmac,6044500,2586200
2000570,54,50,gobhut,6550200,2652400
14069917,57,130,gobcot,5436400,2232500
9015241,2,50,gobhut,5984700,2656700
13050147,33,8,scaery,5728005,2469218
1019306,96,20,chefos,6603500,2607600
13019144,130,800,parcur,5828054,2435091
6007227,133,150,geoaus,6211200,2650700
15050238,49,59,parane,5446585,2119251
3030430,214,130,caraur,6315100,2748600
13063833,31,110,angdie,5666600,2354100
12029636,45,115,angdie,5851600,2384400
3014461,4,5,angaus,6394300,2670700
7037682,3,5,galmac,6100608,2700926
12045603,20,40,galarg,5740500,2256900
3029897,45,350,nospec,6321800,2685600
3029023,213,80,angaus,6324300,2714900
3031135,283,310,gobcot,6318000,2793000
